content,label
Bizimle İletişime Geçin,0
İyi gidiyorsun! Tekrar başla veya yeni bir şeye başla.,0
E-Posta Kotanız Doldu,1
Dikkat: Hesabınız Kapanacak,1
Şifreniz Ele Geçirildi,1
Fatura Ödemeniz Gecikti,1
Ücretsiz hediyenizi hemen almak için tıklayın.,1
Kredi kartı bilgileriniz çalınmadan hemen tıklayın,1
Cihazınıza virüs bulaşmıştır,1
Torrentle indir,1
İletişim bilgileri,0
3D secure ile satın al,0
Müşterilerimizin güvenliği bizim için önemlidir,0
habercilik ve kvkk,0
Abonelik Planları,0
Bedava Araba fırsatını kaçırma,1
Course overview,0
akıcı ingilizce öğrenmek tıklayın,1
Ücretsiz tatili Kaçırmamak için hemen tıkla,1
Hesap aktivitenizde olağandışı bir hareket tespit edildi.,1
"Yıllık üyeliğiniz sona ermek üzere, hemen yenileyin!",1
"Kazanma şansını kaçırma, tıkla ve öğren!",1
"Hemen şimdi kayıt ol, bedava kazan!",1
Cihazınız tehlikede! Anında koruma başlat.,1
Sadece bugün geçerli dev indirim seni bekliyor!,1
Bu bağlantıdan ödeme yapmazsan hesabın kilitlenir.,1
"Hemen bilgi verin, aksi halde verileriniz silinecek!",1
Çekilişe katılmak için buraya basın.,1
Yetişkin içeriğe erişim için tıkla.,1
Lisans süreniz doldu. Şimdi yenileyin.,1
"Kazanan kişi sen olabilirsin, hemen katıl!",1
Telefon numaranız onaylanmadı. Hemen düzeltin.,1
Sistemde kayıtlı e-postanızı giriniz.,0
Sitemizdeki tüm ürünler %100 orijinaldir.,0
Veri analitiği üzerine eğitimimize hoş geldiniz.,0
Bu kampanya 31 Aralık’a kadar geçerlidir.,0
Yeni blog yazımızda SEO tüyolarını keşfedin.,0
Yüksek lisans başvuruları açıldı.,0
Kargo takip numaranızı buradan kontrol edebilirsiniz.,0
Fotoğrafçılık kursumuz haftaya başlıyor.,0
Ürün yorumları sayfamıza göz atın.,0
2025 tatil planınızı bizimle yapın.,0
Bu eğitim herkese açık ve ücretsizdir.,0
Teknik servis saatlerimiz güncellendi.,0
Kitap önerileri listemizi inceleyin.,0
